Bloc 1 : 10 catégories finales
Tech, Cloud et IA
BTP et Ingenierie
Juridique et Administratif
Finance et Audit
Marketing et Ventes
Design et Creativite
Redaction et Langues
Audio, Video et Animation
Conseil et Formation
Logistique et Services

Bloc 2 : 300 services (format import)
1. Tech, Cloud et IA
Developpeur Frontend | Tech, Cloud et IA | [web, react, js, frontend]
Developpeur Backend | Tech, Cloud et IA | [python, node, api, backend]
Developpeur Fullstack | Tech, Cloud et IA | [web, complet, fullstack]
Developpeur iOS | Tech, Cloud et IA | [mobile, swift, apple, ios]
Developpeur Android | Tech, Cloud et IA | [mobile, kotlin, android]
Developpeur Flutter | Tech, Cloud et IA | [mobile, dart, flutter]
Developpeur React Native | Tech, Cloud et IA | [mobile, js, reactnative]
Ingenieur DevOps | Tech, Cloud et IA | [cloud, infra, devops]
Administrateur Cloud AWS | Tech, Cloud et IA | [amazon, aws, cloud]
Administrateur Cloud Azure | Tech, Cloud et IA | [microsoft, azure, cloud]
Architecte Solutions IT | Tech, Cloud et IA | [strategie, infra, architecture]
Expert en Cybersecurite | Tech, Cloud et IA | [securite, hacking, cyber]
Analyste SOC | Tech, Cloud et IA | [securite, monitoring, soc]
Developpeur Blockchain | Tech, Cloud et IA | [web3, crypto, solidity]
Auditeur de Smart Contracts | Tech, Cloud et IA | [blockchain, securite, web3]
Data Scientist | Tech, Cloud et IA | [data, ia, stats]
Data Analyst | Tech, Cloud et IA | [data, bi, analytics]
Data Engineer | Tech, Cloud et IA | [data, pipeline, bigdata]
Ingenieur Machine Learning | Tech, Cloud et IA | [ia, modeles, ml]
Prompt Engineer | Tech, Cloud et IA | [ia, generative, prompt]
Developpeur de Chatbots IA | Tech, Cloud et IA | [ia, conversationnel, bot]
Administrateur de Bases de Donnees | Tech, Cloud et IA | [db, sql, performance]
Expert NoSQL | Tech, Cloud et IA | [mongodb, bigdata, nosql]
Ingenieur QA Automatisation | Tech, Cloud et IA | [test, qualite, qa]
Testeur Logiciel Manuel | Tech, Cloud et IA | [test, qualite, manuel]
Specialiste Integration API | Tech, Cloud et IA | [web, api, backend]
Consultant ERP Odoo | Tech, Cloud et IA | [gestion, odoo, erp]
Consultant SAP | Tech, Cloud et IA | [gestion, sap, erp]
Expert CRM Salesforce | Tech, Cloud et IA | [crm, salesforce, gestion]
Developpeur WordPress | Tech, Cloud et IA | [cms, wordpress, web]
Developpeur Shopify | Tech, Cloud et IA | [ecommerce, shopify, web]
Expert No-code Bubble | Tech, Cloud et IA | [nocode, bubble, web]
Webmaster Maintenance | Tech, Cloud et IA | [web, maintenance, support]
Architecte Reseaux | Tech, Cloud et IA | [reseau, infra, telecom]
Ingenieur Systemes Embarques | Tech, Cloud et IA | [iot, hardware, electronique]

2. BTP et Ingenierie
36. Architecte Batiment DPLG | BTP et Ingenierie | [btp, conception, archi]
37. Architecte d'Interieur | BTP et Ingenierie | [design, amenagement, deco]
38. Urbaniste Amenageur | BTP et Ingenierie | [ville, urbanisme, foncier]
39. Paysagiste Concepteur | BTP et Ingenierie | [jardin, exterieur, paysage]
40. Geometre-Expert | BTP et Ingenierie | [terrain, foncier, mesure]
41. Topographe de Terrain | BTP et Ingenierie | [terrain, mesure, carte]
42. Cartographe SIG | BTP et Ingenierie | [data, geographie, sig]
